date;home_team;away_team;home_score;away_score;city;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;avg_wind_dir_deg;avg_wind_speed_kmh;Gagnant;resultat
10/03/2019;Ireland;France;26;14;Dublin;Spring;3,4;2,7;7,9;1,5;252;25,2;Ireland;1
16/03/2019;Italy;France;14;25;Rome;Spring;12,8;9;16,4;;150;8,4;France;0
20/07/2019;Argentina;New Zealand;16;20;Buenos Aires;Winter;15,1;11,9;17,5;;22;7,5;New Zealand;0
27/07/2019;Australia;Argentina;16;10;Brisbane;Winter;;12,1;25,9;0;;;Australia;1
27/07/2019;New Zealand;South Africa;16;16;Wellington;Winter;13,3;8,4;14,8;0;12;21,1;South Africa;-1
10/08/2019;Ireland;Italy;29;10;Dublin;Summer;16,6;16,8;20,2;10,2;235;20,6;Ireland;1
10/08/2019;Australia;New Zealand;47;26;Perth;Winter;;7,3;18,9;0,2;;;Australia;1
10/08/2019;Argentina;South Africa;13;46;Salta;Winter;7,4;-3,2;20,5;;341;7,1;South Africa;0
17/08/2019;New Zealand;Australia;36;0;Auckland;Winter;12,1;7,8;16,6;1,5;309;15,3;New Zealand;1
17/08/2019;South Africa;Argentina;24;18;Pretoria;Winter;20,1;11,6;27,8;;;;South Africa;1
30/08/2019;France;Italy;47;19;Saint-Denis;Summer;20,8;12,8;28,2;0;61;8,3;France;1
07/09/2019;Ireland;Wales;19;10;Dublin;Autumn;12,5;10,2;18,7;0;303;15;Ireland;1
01/02/2020;Ireland;Scotland;19;12;Dublin;Winter;7,9;7,5;10,9;2,7;242;24,5;Ireland;1
02/02/2020;France;England;24;17;Saint-Denis;Winter;13;11;15,7;11,7;230;19,9;France;1
08/02/2020;Ireland;Wales;24;14;Dublin;Winter;7,1;4,1;11,8;33,1;210;31,7;Ireland;1
09/02/2020;France;Italy;35;22;Saint-Denis;Winter;10,3;6,9;13,9;2,8;211;33,9;France;1
22/02/2020;Italy;Scotland;0;17;Rome;Winter;10,4;4,1;16,4;0;0;6,4;Scotland;0
11/10/2020;New Zealand;Australia;16;16;Wellington;Spring;14,4;12,4;17,9;17,8;0;34,1;Australia;-1
18/10/2020;New Zealand;Australia;27;7;Auckland;Spring;15,8;6,7;18,5;1,5;124;7,8;New Zealand;1
24/10/2020;Ireland;Italy;50;17;Dublin;Autumn;10,1;7,5;11,8;0;200;20,7;Ireland;1
24/10/2020;France;Wales;38;21;Paris;Autumn;13,7;11;15,8;2,8;202;21,5;France;1
31/10/2020;France;Ireland;35;27;Saint-Denis;Autumn;14,1;9;18;0,2;191;13,9;France;1
31/10/2020;Italy;England;5;34;Rome;Autumn;14,2;8,6;20;0,3;33;5,5;England;0
31/10/2020;Australia;New Zealand;5;43;Sydney;Spring;16,6;16,7;21,2;3,2;136;23,5;New Zealand;0
07/11/2020;Australia;New Zealand;24;22;Brisbane;Spring;;17;27,1;0;;;Australia;1
13/11/2020;Ireland;Wales;32;9;Dublin;Autumn;8,2;6,1;10,8;0,3;217;19,4;Ireland;1
14/11/2020;New Zealand;Argentina;15;25;Sydney;Spring;21,2;17,3;25,7;1,6;137;16,5;Argentina;0
14/11/2020;Italy;Scotland;17;28;Florence;Autumn;4;2,2;6,4;0;;11,5;Scotland;0
28/11/2020;France;Italy;36;5;Saint-Denis;Autumn;6,3;2,3;11,3;0;31;8,7;France;1
05/12/2020;Ireland;Scotland;31;16;Dublin;Winter;4,8;0,6;7,3;1;337;22,2;Ireland;1
05/12/2020;Australia;Argentina;16;16;Sydney;Summer;23,3;19,5;26,2;0;50;20,1;Argentina;-1
06/02/2021;Italy;France;10;50;Rome;Winter;15,3;7;21,4;0;138;13,9;France;0
14/02/2021;Ireland;France;13;15;Dublin;Winter;8,2;1,1;13,1;2,5;170;28,8;France;0
27/02/2021;Italy;Ireland;10;48;Rome;Winter;10,3;7,5;15;0;292;4,5;Ireland;0
13/03/2021;Italy;Wales;7;48;Rome;Spring;13,6;10,3;17,5;0;187;14,8;Wales;0
20/03/2021;France;Wales;32;30;Paris;Spring;5,1;1;9,1;0;17;13,8;France;1
20/03/2021;Ireland;England;32;18;Dublin;Spring;8,4;3,2;13,5;0,1;288;13,7;Ireland;1
26/03/2021;France;Scotland;23;27;Saint-Denis;Spring;8,9;3,7;15,6;0,3;213;15,1;Scotland;0
07/07/2021;Australia;France;23;21;Brisbane;Winter;12,3;8;22;0;188;7,6;Australia;1
13/07/2021;Australia;France;26;28;Melbourne;Winter;10,1;6,8;13,3;1;355;19,1;France;0
17/07/2021;Australia;France;33;30;Brisbane;Winter;15,2;14,4;21,1;0,6;265;21,9;Australia;1
